1169, 77
962, 195
962, 195
962, 195
962, 195
962, 195
962, 195
962, 195
962, 195
962, 195
962, 195
962, 195
69, 908
121, 873
183, 840
693, 550
693, 550
693, 550
693, 550
528, 636
528, 636
528, 636
528, 636
528, 636
528, 636
528, 636
528, 636
650, 588
666, 579
699, 546
745, 510
781, 486
843, 443
904, 398
941, 370
993, 327
1038, 295
1069, 274
1103, 241
1134, 217
1156, 201
1181, 181
1209, 159
1226, 149
1247, 131
1266, 115
1269, 113
1276, 110
1275, 106
1284, 104
1289, 98
1292, 96
1292, 96
1292, 96
1292, 96
1292, 96
1292, 96
1292, 96
1292, 96
1292, 96
1292, 96
1291, 95
1293, 95
1309, 88
1324, 76
1330, 71
1339, 64
1351, 55
1360, 48
1360, 48
1401, 20
1416, 17
